id,title,title_slug,difficulty,likes,dislikes,ratio
1,Two Sum,two-sum,easy,40352,1302,30.992319508448542
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,medium,30401,1300,23.385384615384616
53,Maximum Subarray,maximum-subarray,medium,26441,1187,22.27548441449031
42,Trapping Rain Water,trapping-rain-water,hard,23916,332,72.03614457831326
2,Add Two Numbers,add-two-numbers,medium,22846,4418,5.171118153010412
5,Longest Palindromic Substring,longest-palindromic-substring,medium,22671,1311,17.2929061784897
15,3Sum,3sum,medium,22649,2070,10.941545893719807
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,easy,21491,683,31.46559297218155
11,Container With Most Water,container-with-most-water,medium,21344,1139,18.739244951712028
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,hard,20737,2346,8.839300937766412
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,medium,18628,1109,16.79711451758341
200,Number of Islands,number-of-islands,medium,17924,409,43.8239608801956
287,Find the Duplicate Number,find-the-duplicate-number,medium,17239,2338,7.373396065012831
56,Merge Intervals,merge-intervals,medium,17083,609,28.050903119868636
20,Valid Parentheses,valid-parentheses,easy,16810,865,19.433526011560694
560,Subarray Sum Equals K,subarray-sum-equals-k,medium,16266,482,33.74688796680498
21,Merge Two Sorted Lists,merge-two-sorted-lists,easy,16002,1402,11.413694721825962
22,Generate Parentheses,generate-parentheses,medium,15999,618,25.888349514563107
146,LRU Cache,lru-cache,medium,15841,676,23.433431952662723
300,Longest Increasing Subsequence,longest-increasing-subsequence,medium,15710,287,54.73867595818815
206,Reverse Linked List,reverse-linked-list,easy,15591,260,59.965384615384615
70,Climbing Stairs,climbing-stairs,easy,15442,458,33.71615720524017
238,Product of Array Except Self,product-of-array-except-self,medium,15416,865,17.821965317919076
198,House Robber,house-robber,medium,15343,301,50.9734219269103
23,Merge k Sorted Lists,merge-k-sorted-lists,hard,14821,558,26.560931899641577
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,medium,14767,360,41.019444444444446
322,Coin Change,coin-change,medium,14612,330,44.27878787878788
152,Maximum Product Subarray,maximum-product-subarray,medium,14411,422,34.149289099526065
39,Combination Sum,combination-sum,medium,14158,286,49.50349650349651
128,Longest Consecutive Sequence,longest-consecutive-sequence,medium,14076,572,24.60839160839161
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,medium,13850,575,24.08695652173913
46,Permutations,permutations,medium,13765,227,60.63876651982379
55,Jump Game,jump-game,medium,13762,728,18.903846153846153
76,Minimum Window Substring,minimum-window-substring,hard,13685,601,22.770382695507486
31,Next Permutation,next-permutation,medium,13596,3890,3.495115681233933
49,Group Anagrams,group-anagrams,medium,13315,394,33.79441624365482
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,medium,13288,779,17.057766367137354
98,Validate Binary Search Tree,validate-binary-search-tree,medium,13151,1058,12.430056710775048
75,Sort Colors,sort-colors,medium,13039,477,27.335429769392032
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,medium,12940,314,41.210191082802545
48,Rotate Image,rotate-image,medium,12912,603,21.412935323383085
239,Sliding Window Maximum,sliding-window-maximum,hard,12834,417,30.776978417266186
139,Word Break,word-break,medium,12830,543,23.627992633517497
78,Subsets,subsets,medium,12768,182,70.15384615384616
169,Majority Element,majority-element,easy,12765,412,30.983009708737864
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,hard,12660,177,71.52542372881356
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,medium,12511,634,19.733438485804417
234,Palindrome Linked List,palindrome-linked-list,easy,12431,694,17.912103746397694
41,First Missing Positive,first-missing-positive,hard,12396,1492,8.308310991957105
62,Unique Paths,unique-paths,medium,12317,359,34.309192200557106
124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,hard,12182,599,20.33722871452421
136,Single Number,single-number,easy,12155,460,26.42391304347826
189,Rotate Array,rotate-array,medium,12144,1448,8.386740331491712
207,Course Schedule,course-schedule,medium,11936,464,25.724137931034484
347,Top K Frequent Elements,top-k-frequent-elements,medium,11884,438,27.1324200913242
283,Move Zeroes,move-zeroes,easy,11829,294,40.234693877551024
160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,easy,11696,1055,11.086255924170617
101,Symmetric Tree,symmetric-tree,easy,11609,261,44.47892720306513
79,Word Search,word-search,medium,11562,463,24.971922246220302
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,medium,11558,222,52.06306306306306
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,medium,11548,327,35.31498470948012
14,Longest Common Prefix,longest-common-prefix,easy,11394,3536,3.2222850678733033
141,Linked List Cycle,linked-list-cycle,easy,10677,912,11.707236842105264
35,Search Insert Position,search-insert-position,easy,10619,498,21.323293172690764
72,Edit Distance,edit-distance,hard,10518,120,87.65
74,Search a 2D Matrix,search-a-2d-matrix,medium,10478,317,33.05362776025237
